osm_id,osm_highway,osm_name,osm_access,osm_bicycle,osm_oneway,osm_oneway_bicycle,osm_maxspeed,osm_lanes,osm_lanes_forward,osm_lanes_backward,osm_cycleway,osm_cycleway_left,osm_cycleway_left_buffer,osm_cycleway_left_oneway,osm_cycleway_left_width,osm_cycleway_right,osm_cycleway_right_buffer,osm_cycleway_right_oneway,osm_cycleway_right_width,osm_cycleway_both,osm_cycleway_both_buffer,osm_cycleway_both_width,osm_cycleway_buffer,osm_cycleway_width,osm_parking_left,osm_parking_right,osm_parking_both,osm_parking_lane_left,osm_parking_lane_right,osm_parking_lane_both,osm_parking_left_restriction,osm_parking_right_restriction,osm_parking_both_restriction,osm_tracktype,osm_turn_lanes,osm_turn_lanes_forward,osm_turn_lanes_backward,osm_width,osm_footway,dc_blockkey,dc_ROUTEID,dc_ROUTENAME,dc_ROADTYPE,dc_STREETNAME,dc_STREETTYPE,dc_DCFUNCTIONALCLASS,dc_FHWAFUNCTIONALCLASS,dc_TOTALTRAVELLANES,dc_TOTALTRAVELLANESINBOUND,dc_TOTALTRAVELLANESOUTBOUND,dc_TOTALTRAVELLANESBIDIRECTIONAL,dc_TOTALTRAVELLANESREVERSIBLE,dc_TOTALTRAVELLANEWIDTH,dc_TOTALCROSSSECTIONWIDTH,dc_SUMMARYDIRECTION,dc_TOTALPARKINGLANES,dc_TOTALPARKINGLANEWIDTH,dc_TOTALRAISEDBUFFERS,dc_TOTALRAISEDBUFFERWIDTH,dc_BIKELANE_CONVENTIONAL,dc_BIKELANE_BUFFERED,dc_BIKELANE_PROTECTED,dc_BIKELANE_DUAL_PROTECTED,dc_BIKELANE_DUAL_BUFFERED,dc_BIKELANE_PARKINGLANE_ADJACENT,dc_BIKELANE_THROUGHLANE_ADJACENT,dc_BIKELANE_POCKETLANE_ADJACENT,dc_BIKELANE_CONTRAFLOW,dc_TOTALBIKELANES,dc_TOTALBIKELANEWIDTH,dc_SPEEDLIMITS_OB,dc_SPEEDLIMITS_IB,dc_SPEEDLIMITS_OB_ALT,dc_SPEEDLIMITS_IB_ALT,dc_DOUBLEYELLOW_LINE,dc_SLOWSTREETINFO,dc_SPEEDHUMP_PRESENT,dc_SURFACE_TYPE,dc_PCI_CONDCATEGORY,dc_PCI_SCORE,dc_PCI_LASTINSPECTED,dc_SIDEWALK_IB_PAVTYPE,dc_SIDEWALK_IB_WIDTH,dc_SIDEWALK_OB_PAVTYPE,dc_SIDEWALK_OB_WIDTH,dc_LEFTTURN_CURBLANE_EXCL,dc_LEFTTURN_CURBLANE_EXCL_LEN,dc_RIGHTTURN_CURBLANE_EXCL,dc_RIGHTTURN_CURBLANE_EXCL_LEN,dc_LEFTTURN_EXCLUSIVE,dc_RIGHTTURN_EXCLUSIVE,dc_BUSLANE_INBOUND,dc_BUSLANE_OUTBOUND,dc_AADT,dc_AADT_YEAR,match_confidence,geometry_wkt
6061988,residential,V Street Northwest,,,,,25 mph,2,,,lane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28d600640e7c1fb7739fdeddd17e9ff9,11088462,V ST NW,1.0,V,ST,19.0,7.0,2.0,1.0,1.0,0.0,0.0,25.0,54.0,BD,2.0,21.0,0.0,0.0,,,,,,,,,,0.0,0.0,20.0,,,,,,,0.0,Fair,59.0,2023-02-05 05:00:00+00:00,3 (JPCP),12,3 (JPCP),12,,0.0,,0.0,,,,,,,1.0,"LINESTRING (-77.022951 38.917771, -77.023055 38.917771)"
6061988,residential,V Street Northwest,,,,,25 mph,2,,,lane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28d600640e7c1fb7739fdeddd17e9ff9,11088462,V ST NW,1.0,V,ST,19.0,7.0,2.0,1.0,1.0,0.0,0.0,25.0,54.0,BD,2.0,21.0,0.0,0.0,,,,,,,,,,0.0,0.0,20.0,,,,,,,0.0,Fair,59.0,2023-02-05 05:00:00+00:00,3 (JPCP),12,3 (JPCP),12,,0.0,,0.0,,,,,,,1.0,"LINESTRING (-77.023055 38.917771, -77.023439 38.917772)"
6061988,residential,V Street Northwest,,,,,25 mph,2,,,lane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28d600640e7c1fb7739fdeddd17e9ff9,11088462,V ST NW,1.0,V,ST,19.0,7.0,2.0,1.0,1.0,0.0,0.0,25.0,54.0,BD,2.0,21.0,0.0,0.0,,,,,,,,,,0.0,0.0,20.0,,,,,,,0.0,Fair,59.0,2023-02-05 05:00:00+00:00,3 (JPCP),12,3 (JPCP),12,,0.0,,0.0,,,,,,,1.0,"LINESTRING (-77.023439 38.917772, -77.023549 38.917772)"
6061988,residential,V Street Northwest,,,,,25 mph,2,,,lane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28d600640e7c1fb7739fdeddd17e9ff9,11088462,V ST NW,1.0,V,ST,19.0,7.0,2.0,1.0,1.0,0.0,0.0,25.0,54.0,BD,2.0,21.0,0.0,0.0,,,,,,,,,,0.0,0.0,20.0,,,,,,,0.0,Fair,59.0,2023-02-05 05:00:00+00:00,3 (JPCP),12,3 (JPCP),12,,0.0,,0.0,,,,,,,1.0,"LINESTRING (-77.023549 38.917772, -77.023805 38.917772)"
6061988,residential,V Street Northwest,,,,,25 mph,2,,,lane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28d600640e7c1fb7739fdeddd17e9ff9,11088462,V ST NW,1.0,V,ST,19.0,7.0,2.0,1.0,1.0,0.0,0.0,25.0,54.0,BD,2.0,21.0,0.0,0.0,,,,,,,,,,0.0,0.0,20.0,,,,,,,0.0,Fair,59.0,2023-02-05 05:00:00+00:00,3 (JPCP),12,3 (JPCP),12,,0.0,,0.0,,,,,,,1.0,"LINESTRING (-77.023805 38.917772, -77.023892 38.917773)"
6061979,residential,V Street Northwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249e5d6a8361ee26432916ff2489870e,11088462,V ST NW,1.0,V,ST,19.0,7.0,2.0,1.0,1.0,0.0,0.0,16.0,32.0,BD,2.0,16.0,0.0,0.0,,,,,,,,,,0.0,0.0,20.0,,,,,,,0.0,Fair,63.0,2023-01-26 05:00:00+00:00,3 (JPCP),6,3 (JPCP),6,,0.0,,0.0,,,,,,,1.0,"LINESTRING (-77.01361 38.918108, -77.013937 38.918108)"
6061979,residential,V Street Northwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249e5d6a8361ee26432916ff2489870e,11088462,V ST NW,1.0,V,ST,19.0,7.0,2.0,1.0,1.0,0.0,0.0,16.0,32.0,BD,2.0,16.0,0.0,0.0,,,,,,,,,,0.0,0.0,20.0,,,,,,,0.0,Fair,63.0,2023-01-26 05:00:00+00:00,3 (JPCP),6,3 (JPCP),6,,0.0,,0.0,,,,,,,1.0,"LINESTRING (-77.013937 38.918108, -77.014543 38.918108)"
6061979,residential,V Street Northwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249e5d6a8361ee26432916ff2489870e,11088462,V ST NW,1.0,V,ST,19.0,7.0,2.0,1.0,1.0,0.0,0.0,16.0,32.0,BD,2.0,16.0,0.0,0.0,,,,,,,,,,0.0,0.0,20.0,,,,,,,0.0,Fair,63.0,2023-01-26 05:00:00+00:00,3 (JPCP),6,3 (JPCP),6,,0.0,,0.0,,,,,,,1.0,"LINESTRING (-77.014543 38.918108, -77.014625 38.918107)"
6061987,residential,V Street Northwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d3ce608cd5be463a12858a7e897348af,11088462,V ST NW,1.0,V,ST,19.0,7.0,1.0,0.0,0.0,1.0,0.0,13.0,29.0,BD,2.0,16.0,0.0,0.0,,,,,,,,,,0.0,0.0,20.0,,,,,,Yes,0.0,Excellent,89.0,2023-02-01 05:00:00+00:00,3 (JPCP),7,12 (Brick),7,,0.0,,0.0,,,,,,,1.0,"LINESTRING (-77.01469 38.918663, -77.014774 38.918655)"
6061987,residential,V Street Northwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d3ce608cd5be463a12858a7e897348af,11088462,V ST NW,1.0,V,ST,19.0,7.0,1.0,0.0,0.0,1.0,0.0,13.0,29.0,BD,2.0,16.0,0.0,0.0,,,,,,,,,,0.0,0.0,20.0,,,,,,Yes,0.0,Excellent,89.0,2023-02-01 05:00:00+00:00,3 (JPCP),7,12 (Brick),7,,0.0,,0.0,,,,,,,1.0,"LINESTRING (-77.014774 38.918655, -77.015116 38.918622, -77.015502 38.918587, -77.015539 38.918583, -77.015793 38.918559, -77.015893 38.918549, -77.01617 38.91852, -77.016399 38.918499, -77.016693 38.918471, -77.017055 38.918437)"
